country,year_month,sunshine_hours,daylight_hours,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,retail_index,unemployment_rate,inflation_yoy,CCI,covid_dummy,month_num,month_sin,month_cos
Turkey,2015-11,252.23773998930366,299.6277205043632,12.97462728259113,20.530241013920634,5.887481820070643,49.10517002562505,49.10517002562505,58.82827758154997,78.0,10.2,8.1,98.88575,0,11,-0.5000000000000004,0.8660254037844384
Turkey,2015-12,239.73779570684334,290.6889834754061,6.72899316144224,14.080815845972714,-1.7352759886418725,20.030009003393587,8.356430500727198,48.84666528152919,79.4,10.4,8.8,98.84715,0,12,-2.4492935982947064e-16,1.0
Turkey,2016-01,203.95271450979595,300.23479673280707,5.024572227099991,15.979662719024866,-7.555814114550869,157.0508657109218,121.9237066278828,202.41689175150634,76.9,10.2,9.6,98.74997,0,1,0.49999999999999994,0.8660254037844387
Turkey,2016-02,232.9234251021539,310.1261067065663,9.822695358117741,20.4658979153681,-0.3283849297042731,73.56820416926381,69.20548860724428,119.77952074243369,80.1,10.1,8.7,98.69659,0,2,0.8660254037844386,0.5000000000000001
Turkey,2016-03,284.1953019944056,371.4416975811075,10.163888237278515,20.49237481820071,0.7711233464921394,94.52758847565622,93.41712376203337,136.04854906849505,78.9,10.2,7.3,98.78798,0,3,1.0,6.123233995736766e-17
Turkey,2016-04,355.4287451372055,399.09981038939674,15.42847565620888,25.44165800955745,5.3486010111503575,22.53791813837523,22.532301405914534,48.96357088441028,79.6,10.1,6.6,98.99328,0,4,0.8660254037844387,-0.49999999999999983
Turkey,2016-05,384.79264309364686,446.9711237141307,17.434687305215043,27.04049795692222,9.312646305145785,64.62654269686266,64.62654269686266,115.90193226677748,79.6,10.3,6.6,99.24696,0,5,0.49999999999999994,-0.8660254037844387
Turkey,2016-06,406.7536658269271,449.2454780654824,23.598530715423507,34.735296765704,12.890148209709812,21.184109010319272,21.184109010319272,45.48857261583212,78.8,10.7,7.0,99.49193,0,6,1.2246467991473532e-16,-1.0
Turkey,2016-07,431.0200164250372,455.1255871848812,25.856931719424765,35.10210887180553,18.378367615485836,8.14693192049311,8.14693192049311,23.29423782810444,77.4,11.1,8.3,99.70217,0,7,-0.4999999999999998,-0.8660254037844388
Turkey,2016-08,393.9969511454317,424.60749884571885,26.09646678239267,34.75108733291779,18.821684327169475,21.396215111849852,21.396215111849852,58.406295449823396,78.4,11.1,7.9,99.88496,0,8,-0.8660254037844384,-0.5000000000000004
Turkey,2016-09,341.1030765479873,372.9230381586136,21.71186324075998,31.83965302306254,11.907770621234159,40.4282152503636,40.4282152503636,60.82782741187063,79.8,11.6,7.3,100.052,0,9,-1.0,-1.8369701987210297e-16
Turkey,2016-10,277.99266625449206,344.60098947180086,16.401343918464555,26.2952524413048,7.376272595055058,27.2308193088164,27.2308193088164,67.42703788350994,81.6,11.5,7.2,100.1671,0,10,-0.8660254037844386,0.5000000000000001
Turkey,2016-11,241.2661132350848,298.9001978577503,11.397391670706652,23.045609114204584,3.1004155412424685,104.67356811413532,103.87488053189279,106.65319620472332,82.5,11.6,7.0,100.2403,0,11,-0.5000000000000004,0.8660254037844384
Turkey,2016-12,205.24236945108154,290.57099131134044,4.333450064676983,12.992707251194682,-1.6922813214211512,102.54943209363528,82.45407576701987,203.4365953320867,80.1,12.1,8.5,100.3007,0,12,-2.4492935982947064e-16,1.0
Turkey,2017-01,182.7757491884441,300.8094868282083,2.7578585327819596,12.587391786134773,-6.1142115104924155,129.79193157420875,97.47460696724148,191.06579403005748,80.0,12.0,9.0,100.4169,0,1,0.49999999999999994,0.8660254037844387
Turkey,2017-02,230.86479817296515,299.69924579428016,6.293784937619345,17.01274326476903,-4.145494840362906,27.464640903109636,26.200308193088166,69.94757254657524,81.1,11.9,9.9,100.663,0,2,0.8660254037844386,0.5000000000000001
Turkey,2017-03,283.9722593568922,371.1102793486583,9.536364438606014,20.25055405498996,0.20149941131657312,67.96842925410347,67.3577082900478,125.16531615762864,81.6,11.9,11.1,100.9718,0,3,1.0,6.123233995736766e-17
